id,type,en,tr,tr_nodia,chars_en,chars_tr,length_bin_tr
1,Diyalog,How is the weather today?,Bugün hava nasıl?,Bugun hava nasıl?,25,17,short
2,Diyalog,What should we cook for dinner tonight? I was thinking maybe pasta.,Bu akşam yemeği için ne pişirmeliyiz? Aklımdan makarna geçiyordu.,Bu aksam yemegi icin ne pisirmeliyiz? Aklımdan makarna geciyordu.,67,65,medium
3,Diyalog,"I'm sorry, I didn't catch your name.","Kusura bakmayın, isminizi duyamadım.","Kusura bakmayın, isminizi duyamadım.",36,36,medium
4,Diyalog,Could you please speak a little slower?,Biraz daha yavaş konuşabilir misiniz lütfen?,Biraz daha yavas konusabilir misiniz lutfen?,39,44,medium
5,Diyalog,That sounds like a great idea.,Bu harika bir fikir gibi duruyor.,Bu harika bir fikir gibi duruyor.,30,33,medium
6,Diyalog,"I'll be right back, just a moment.","Hemen döneceğim, bir saniye lütfen.","Hemen donecegim, bir saniye lutfen.",34,35,medium
7,Diyalog,It was nice meeting you.,Tanıştığımıza memnun oldum.,Tanıstıgımıza memnun oldum.,24,27,short
8,Diyalog,I completely agree with you.,Size tamamen katılıyorum.,Size tamamen katılıyorum.,28,25,short
9,Diyalog,Let's agree to disagree.,Aynı fikirde olmadığımız konusunda anlaşalım.,Aynı fikirde olmadıgımız konusunda anlasalım.,24,45,medium
10,Diyalog,I'm looking forward to it.,Dört gözle bekliyorum.,Dort gozle bekliyorum.,26,22,short
11,Teknik,An API is a set of rules that allows two software components to communicate with each other.,"API, iki yazılım bileşeninin birbiriyle iletişim kurmasını sağlayan bir dizi kuraldır.","API, iki yazılım bileseninin birbiriyle iletisim kurmasını saglayan bir dizi kuraldır.",92,86,medium
12,Teknik,"To install the library, run `pip install requests` in your terminal. It’s a very common package.",Kütüphaneyi kurmak için terminalinizde `pip install requests` komutunu çalıştırın. Çok yaygın bir pakettir.,Kutuphaneyi kurmak icin terminalinizde `pip install requests` komutunu calıstırın. Cok yaygın bir pakettir.,96,107,medium
13,Teknik,"Authentication is the process of verifying who a user is, while authorization is verifying what they have access to.","Kimlik doğrulama bir kullanıcının kim olduğunu doğrulama işlemidir, yetkilendirme ise neye erişimi olduğunu doğrulamaktır.","Kimlik dogrulama bir kullanıcının kim oldugunu dogrulama islemidir, yetkilendirme ise neye erisimi oldugunu dogrulamaktır.",116,122,medium
14,Teknik,You need to update your graphics card drivers for optimal performance.,Optimum performans için ekran kartı sürücülerinizi güncellemeniz gerekiyor.,Optimum performans icin ekran kartı suruculerinizi guncellemeniz gerekiyor.,70,75,medium
15,Teknik,The server returned a 404 Not Found error.,Sunucu 404 Bulunamadı hatası döndürdü.,Sunucu 404 Bulunamadı hatası dondurdu.,42,38,medium
16,Teknik,A Boolean value can be either true or false.,Bir Boolean değeri ya doğru ya da yanlış olabilir.,Bir Boolean degeri ya dogru ya da yanlıs olabilir.,44,50,medium
17,Teknik,"To clone the repository, use the command `git clone https://github.com/example/repo.git`.",Depoyu klonlamak için `git clone https://github.com/example/repo.git` komutunu kullanın.,Depoyu klonlamak icin `git clone https://github.com/example/repo.git` komutunu kullanın.,89,88,medium
18,Teknik,The function takes two arguments: a string and an integer.,Fonksiyon iki argüman alır: bir metin ve bir tam sayı.,Fonksiyon iki arguman alır: bir metin ve bir tam sayı.,58,54,medium
19,Teknik,The database schema needs to be migrated to the latest version.,Veritabanı şemasının en son sürüme taşınması gerekiyor.,Veritabanı semasının en son surume tasınması gerekiyor.,63,55,medium
20,Teknik,Cache memory is a high-speed volatile computer memory.,"Önbellek, yüksek hızlı, geçici bir bilgisayar belleğidir.","Onbellek, yuksek hızlı, gecici bir bilgisayar bellegidir.",54,57,medium
21,Haber,"Global markets are reacting to the central bank's latest interest rate decision, causing widespread volatility.","Küresel piyasalar, merkez bankasının son faiz kararına tepki vererek yaygın bir dalgalanmaya neden oluyor.","Kuresel piyasalar, merkez bankasının son faiz kararına tepki vererek yaygın bir dalgalanmaya neden oluyor.",111,106,medium
22,Haber,"The company announced record profits for the third quarter, exceeding all analyst expectations.","Şirket, tüm analist beklentilerini aşarak üçüncü çeyrek için rekor kâr açıkladı.","Sirket, tum analist beklentilerini asarak ucuncu ceyrek icin rekor kar acıkladı.",95,80,medium
23,Haber,"Negotiations between the two nations have stalled, with no clear path forward.",İki ülke arasındaki müzakereler durma noktasına geldi ve ileriye dönük net bir yol görünmüyor.,Iki ulke arasındaki muzakereler durma noktasına geldi ve ileriye donuk net bir yol gorunmuyor.,78,94,medium
